Address,Weekly Rent,Bedrooms,Bathrooms,Parking,Property Type,Listing Agent,Agency,URL,Scraped At
"1/493 Armagh Street, Linwood, Christchurch City, Canterbury",350,1,1,0,Unit,Harriet Dishington,Harcourts Asset Managers,https://www.trademe.co.nz/a/property/residential/rent/canterbury/christchurch-city/linwood/listing/5446802858?rsqid=ac0f279bc0d14b88bf41e1ebf78e7ff3-001,2025-07-30T17:45:55.187294
"12 Tarakoi Road, Hobsonville, Waitakere City, Auckland",650,2,1,1,Townhouse,John Yang,"Harcourts In The City, (Licensed: REAA 2008)",https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/hobsonville/listing/5447169691?rsqid=a3108860be4f48899b8a4eb4372ffe4c-001,2025-07-30T17:45:55.689390
"21 Landing Drive, Pyes Pa, Tauranga, Bay Of Plenty",980,4,3,4,Unit,Sophie Weaver,Barfoot & Thompson Tauranga - Rentals,https://www.trademe.co.nz/a/property/residential/rent/bay-of-plenty/tauranga/pyes-pa/listing/5446835367?rsqid=aa93aec0879345cbac6a94b01cd93bfe-001,2025-07-30T17:45:56.401702
"20A Kahu Close, Orewa, Rodney, Auckland",600,2,1,1,House,Nicole Du Toit,"Barfoot & Thompson Orewa Rentals, (Licensed: REAA 2008)",https://www.trademe.co.nz/a/property/residential/rent/auckland/rodney/orewa/listing/5447382454?rsqid=a3108860be4f48899b8a4eb4372ffe4c-001,2025-07-30T17:46:03.813896
"1901/32 Swanson Street, City Centre, Auckland City, Auckland",520,1,1,0,Apartment,Ashlee Zhang,apm (Auckland Property Management),https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/city-centre/listing/5446884224?rsqid=aa93aec0879345cbac6a94b01cd93bfe-001,2025-07-30T17:46:05.204530
"7E Waddell Avenue, Point England, Auckland City, Auckland",860,4,3,3,Townhouse,John He,"Barfoot & Thompson Highland Park Rentals, (Licensed: REAA 2008)",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/point-england/listing/5446875882?rsqid=aa93aec0879345cbac6a94b01cd93bfe-001,2025-07-30T17:46:05.238628
"2/845 East Coast Road, Browns Bay, North Shore City, Auckland",695,3,1,2,Townhouse,Quinovic North Harbour,Quinovic - North Harbour,https://www.trademe.co.nz/a/property/residential/rent/auckland/north-shore-city/browns-bay/listing/5446906194?rsqid=2be062621f7148198fd3d22d87d3eaa2-001,2025-07-30T17:46:15.359190
"2/3A Curzon Street, Onehunga, Auckland City, Auckland",800,4,2,2,Other,Kitty Zhang,"Harcourts Reforma, (Licensed: REAA 2008)",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/onehunga/listing/5446920703?rsqid=2be062621f7148198fd3d22d87d3eaa2-001,2025-07-30T17:46:15.421769
"W203A/28 Torrens Terrace, Te Aro, Wellington, Wellington",380,1,1,0,Apartment,Sam Collier,Taylor Property Plus (2006) Ltd,https://www.trademe.co.nz/a/property/residential/rent/wellington/wellington/te-aro/listing/5446825950?rsqid=ac0f279bc0d14b88bf41e1ebf78e7ff3-001,2025-07-30T17:46:16.924783
"5/110 Southampton Street - 2 weeks rent free, Sydenham, Christchurch City, Canterbury",520,2,2,1,Unit,Vanessa Bridger,Positive Asset Management (Chch),https://www.trademe.co.nz/a/property/residential/rent/canterbury/christchurch-city/sydenham/listing/5446971973?rsqid=9258f7086a4b4e438f12e6d63404a05c-001,2025-07-30T17:46:23.046749
