listing_id,list_date,status,address,suburb,city,region,agency_name,agent_name,property_type,bedrooms,bathrooms,parking_spaces,source_site,URL,Scraped At,Full Description,Page Views,rent_nzd,rent_period
5457043740,05/08/2025,active,"1/31 St David Street, North Dunedin, Dunedin, Otago",North Dunedin,Dunedin,Otago,myRent.co.nz Ltd,myRent.co.nz,Home,1,1,0,trademe,https://www.trademe.co.nz/a/property/residential/rent/otago/dunedin/north-dunedin/listing/5457043740,2025-08-05T17:28:10.014585+00:00,"1 min to Uni - Unlimited Power & WiFi for 2026
Studio Unit for Rent – 31 Flat 1, St David Street, Dunedin 9016
$350.00 per week – Available 1st Jan-31st December.
A quiet and private rear studio unit just seconds' walk from Otago University – ideal for a student or professional seeking convenience, comfort, and privacy.
 Private en-suite
 Free power and Wi-Fi included for 2026
 Mostly furnished – ready to move in
 Shared kitchen facility with one adjoining unit, featuring modern appliances and your own fridge
 Rear unit – peaceful and tucked away from the street
 Minutes' walk to a 24-hour dairy and fast food outlets
 10-minute walk to Central Dunedin
To be considered for this sought after unit:
Rental references are required.
2 weeks advanced rent to secure the unit (goes towards first two weeks rent in January).
Four weeks bond.
Viewings are available by arrangement – get in quick to secure this great unit!
Features: Heating, Healthy Homes compliant, Furnished, Built-in wardrobe, Air conditioning
Bond: $1,400.00
TO APPLY or SCHEDULE A VIEWING: please copy and paste the following link into your browser: https://www.myrent.co.nz/tm/CIGBPJ
",215,350,weekly
5456983535,05/08/2025,active,"20A Stanhope Road, Mount Wellington, Auckland City, Auckland",Mount Wellington,Auckland City,Auckland,"Century 21 Botany - Edwards Realty Ltd MREINZ, (Licensed: REAA 2008)",Dave Prescott,Home,4,2,2,trademe,https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/mount-wellington/listing/5456983535,2025-08-05T17:28:10.174603+00:00,"To book a viewing or view our other listings please copy and paste this link to your browser https://bookme.tenant.co.nz/tps1147
To apply for this property please go to https://apply.tenant.co.nz/tps1147
FIRST FLOOR
Be the first to enjoy this brand-new, stylish 4-bedroom, 2-bathroom home in the heart of Mount Wellington!  Designed for comfort and convenience, this high-quality home features an open-plan living area with seamless flow to the bedrooms and bathroom.
Additional features include:  modern amenities for a comfortable lifestyle, internal double garage for secure parking, and warm and inviting living space with balcony.
Solar power and central air conditioning system.
Located in a sought-after neighbourhood, this home offers easy access to local shops, transport, and amenities.
Maximum 5 residents.
Don't miss out - contact us today to arrange to view.
Attention Tenants: Beware of Rental Scams
We want to bring to your attention the growing number of rental scams that are targeting tenants through fake rental listings on social media platforms.
To help ensure you stay safe, please note that all communication regarding tenancy applications, offers, and requests for tenancy agreements will only come from a verified email address associated with @century21.co.nz
If anyone tries to engage through different means, or through social media platforms, it may be a scam. We advise tenants to verify the authenticity of rental listings and to be cautious of communications or emails that are not connected to @century21.co.nz
If you have any doubts or concerns about a listing, please call the rental manager directly.
",192,880,weekly
5456964514,05/08/2025,active,"68 Hyperion Drive, Randwick Park, Manukau City, Auckland",Randwick Park,Manukau City,Auckland,The Rental Bureau,Hannah Davis,Home,3,1,0,trademe,https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/randwick-park/listing/5456964514,2025-08-05T17:28:10.876578+00:00,"Are you looking for a 3 bedroom property to call home?
This beautiful home is awaiting a new family.
This home has 3 bedrooms with all rooms having built in wardrobes with the master having the luxury of a double wardrobe. The spacious kitchen is perfect for entertaining. 
The lounge flows onto the deck which gets an abundance of sun allowing you to relax while overlooking the kids enjoying themselves in the yard. 
This property has a heatpump keeps the home and a nice temperature all year round. This property would be perfect for a professional family looking for a new place to call home.
Set in Manurewa, this property is in close proximity with great family activities including Auckland Botanic Gardens, Manurewa Markets and Rainbows End is only 10 minutes away! 
Handy to the motorway, Southmall Town Centre and Addison area. What else could you ask for? This property is positioned in a convenient location that has great motor access and the local train station is just 5 minutes down the road. 
In zone for Randwick Park Primary, Randwick Park Intermediate and Alfriston College.
",108,630,weekly
5456986903,05/08/2025,active,"6 Sandstorm Way, Cromwell, Central Otago, Otago",Cromwell,Central Otago,Otago,Propertyscouts Central Otago,Ron Gloag,Home,3,1,2,trademe,https://www.trademe.co.nz/a/property/residential/rent/otago/central-otago/cromwell/listing/5456986903,2025-08-05T17:28:16.537894+00:00,"Brand new 3-Bedroom Wooing Tree Home 
This lovely, warm, low-maintenance brand-new home offers comfortable and convenient living with well-appointed features, including a full three bedrooms, one of which is a master bedroom with an en-suite bathroom and sliding door access to a private patio. Very conveniently located near the underpass, offering easy and safe access to Cromwell Mall and all the nearby facilities. This lovely single-storey residence offers an excellent opportunity for those seeking a practical and accessible home, featuring a large open-plan living area with an indoor-outdoor flow. Both the living area and master bedroom lead out to a private patio, and the property boasts a fully fenced private backyard. 
Key Features:
Large open plan living area with a sloping ceiling and great indoor outdoor flow.
Three good-sized bedrooms, each with a large wardrobe, providing flexible accommodation for families or professionals
The master bathroom includes a bath, and the ensuite consists of both a toilet and a shower designed for everyday comfort.
The master bedroom is large and light with sliding doors leading onto a large private patio and a fully fenced backyard. 
A well-laid-out kitchen including double dish drawers. 
A single internal garage and laundry.
Situated in a desirable and quiet neighbourhood within Wooing Tree, near the underpass leading to the Cromwell Mall with local amenities, restaurants, shops, and recreational facilities.
This fully landscaped, low-maintenance property presents a rare opportunity to secure a well-positioned residence.
To book a viewing or make an application, please use the link below or contact us directly.
https://apply.tenant.co.nz/6855516
",80,760,weekly
5457021164,05/08/2025,active,"4/3 Koromiko Street, New Lynn, Waitakere City, Auckland",New Lynn,Waitakere City,Auckland,"Barfoot & Thompson Glen Eden Rentals, (Licensed: REAA 2008)",Sonia Martinez,Other,2,1,0,trademe,https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/new-lynn/listing/5457021164,2025-08-05T17:28:17.881685+00:00,"BOOK A VIEWING TIME ONLINE NOW!
Scroll to the bottom of this page and click the 'View their website' link, or go to http://www.barfoot.co.nz/49000715
The Property:
Two good sized bedrooms.One family bathroom.Single secure garage.Open plan layout - kitchen & living.Small fenced backyard.Location:
In zone schools including St Leonards, Kelston intermediate, Kelston boys & girls & Glendene school.Short distance to Glen Eden village & train station and various bus stops.Short distance to local shops, parks and amenities.*No Pets
Book a viewing online:
Landlords: Thinking of renting out your property?
Barfoot & Thompson can professionally manage your investment.
Contact Sonia Martinez on 027 298 3083 for more details.

Beware of scams! 
Barfoot and Thompson do not ask for any money to paid upfront for our properties until after you have viewed by a staff member who will be wearing I.D and travel in a sign-written vehicle and completed our application form. If you are the successful applicant, we will provide you with a tenancy agreement and clear instructions on what money you are required to pay and when. If unsure, please give us a call or pop into our branch and see us in person.
",110,510,weekly
5457482092,05/08/2025,active,"77 Freeland Avenue, Mount Roskill, Auckland City, Auckland",Mount Roskill,Auckland City,Auckland,myRent.co.nz Ltd,myRent.co.nz,Home,3,2,1,trademe,https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/mount-roskill/listing/5457482092,2025-08-05T17:28:18.229708+00:00,"Modern Living in Mount Roskill – First Week Free!
Looking for a clean, easy-care home in a great location? This modern, newly built property in Mount Roskill ticks all the boxes — and your first week is rent-free!
With a couple of units available, there's an option to suit your lifestyle. Come take a look and find your new place to call home.
Discover the comfort and convenience of a stylish new-build home nestled in the vibrant heart of Mount Roskill. With thoughtful design and modern features, this home offers the perfect blend of urban lifestyle and everyday ease.
Why You'll Love Living Here:
3 Good-Sized Bedrooms – All with built-in wardrobes for easy storage2 Modern Bathrooms – No waiting in line for the showerHeat Pump / Air Con – Stay warm in winter and cool in summerOpen Plan Living – Light-filled lounge and kitchen spacePrivate Outdoor Area – Fully fenced for pets, kids, or just relaxingSecure Off-Street Parking – No more hunting for a spotPlenty of Storage – Keep things tidy with built-in storage throughoutAppliances Included - Just bring your furniture and move in:
Fridge/FreezerWasher/Dryer comboBlockout & Sunfilter blindsExtra Bonus:
Rent to Own Option – Want to buy later? We can help with that—talk to us about our flexible rent-to-own pathway with expert mortgage support.
Location Perks:
Walk to cafés, supermarkets, and local shopsGreat public transport options and quick motorway accessIn zone for great schools and early learning centersParks and playgrounds nearby for weekend funThings to Note:
Rent does not include power, water, internet, or contents insurancePets considered on applicationMinimum fixed-term lease appliesReady to view?
Come see for yourself why this place is such a great find. With move-in ready options and a rent-free first week, it won’t last long!
 Get in touch today to book a viewing.
Parking summary: 1 non-covered spot
Features: Heating, Garden, Fully-fenced, Courtyard, Built-in wardrobe, Air conditioning, New build, Healthy Homes compliant
Upcoming open homes: 7 August, 2025 - 5:00pm - 5:30pm 
Bond: $2,130.00
TO APPLY or SCHEDULE A VIEWING: please copy and paste the following link into your browser: https://www.myrent.co.nz/tm/98NLF8
",126,710,weekly
5456981181,05/08/2025,active,"1/49 Maxwell St, Riccarton, Christchurch City, Canterbury",Riccarton,Christchurch City,Canterbury,Bayleys Property Management Ltd,Anna Hawker,Other,3,2,2,trademe,https://www.trademe.co.nz/a/property/residential/rent/canterbury/christchurch-city/riccarton/listing/5456981181,2025-08-05T17:28:23.375832+00:00,"Fantastic central Riccarton location, stones throw to Westfield Shopping Centre, and close to numerous cafes, restaurants and bars.   Also located in zone for Chch Boys and Riccarton High Schools.
Stylish and functional kitchen with wall oven, hob and stainless steel dishwasher. 
Open plan dining and lounge which opens to easycare north courtyard.  
Three generous sized double bedrooms all located upstairs (with wardrobes).  The north facing master bedroom has an ensuite bathroom. 
The main tiled bathroom upstairs has a shower and bath.  Three toilets. 
Double glazed, heatpump and fully alarmed.  
Double internal access garage with remote and off street parking for two cars.
Available from the 10th of September for a 12 month tenancy.
Sorry no pets.
For further information please contact Emily Winter on 021 193 4999 or Anna Hawker  on 021 284 2673.
*** To book a viewing on this property, please email us to register, or go to http://www.bayleyspm.co.nz If you do not register, the viewing may not be confirmed. By registering you will be automatically advised of all available viewing times ***  
Payments required to rent will be 2 weeks rent plus 4 weeks bond.
Office hours are Monday - Friday 8:30am-3:00pm
",319,700,weekly
5445626511,29/07/2025,active,"224/8 Upper Queen Street, City Centre, Auckland City, Auckland",City Centre,Auckland City,Auckland,MTM Property Management Ltd,Phil Horrobin,Other,0,1,0,trademe,https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/city-centre/listing/5445626511,2025-08-05T17:28:24.434743+00:00,"FIRST WEEK RENT FREE!
ALL UTILITIES INCLUDED
Book a tour of ABSTRACT:
https://bookme.tpsportal.co.nz/tps9297
Viewing by appointment: Contact Phil directly: 021924300
Cosy & compact, these petite studios have everything at your fingertips. The ideal retreat to rest your head at the end of a busy day in the city. 
-24 Hour Concierge
-Wintergarden 
-Shared Working Space
-Library Lounge
-Eatery and Bar 
-Luxury Day Spa 
-Unlimited WIFI
-ALL utilities included
-24 Hour Security
Auckland's freshest new vibe, blends hotel and residences for urban adventurers wanting to immerse themselves in the best of city living.  Economical on space and price but generous in design, service and value, the design-led residences offer self-contained living with effortless style, 24-hour concierge and the very best connectivity. As well as on-site management and 24/7 security, you'll enjoy access to co-working spaces, a club lounge, a private bar, a restaurant, a spa and an onsite gym. Be energised, elevated, or cocooned in calm.
Enjoy the convenience of having everything within walking distance: K'Road and Ponsonby Road dining and nightlife scenes, Q Theatre, Civic Theatre, Aotea Center, Albert Park, Sky City, Auckland Art Gallery, Auckland University, Auckland Hospital, Starship Hospital and fantastic public transport links.
Book a tour of ABSTRACT:
https://bookme.tpsportal.co.nz/tps9297
Apply here: 
https://apply.tpsportal.co.nz/tps9297?
Any questions, contact Phil Horrobin: 021924300 mailto:mailto:mailto:philhmtm@gmail.com
",208,420,weekly
5456963609,05/08/2025,active,"4/169 Fitzgerald Avenue , City Centre, Christchurch City, Canterbury",City Centre,Christchurch City,Canterbury,"Irelands, (Licensed: REAA 2008)",Lisa Oquist,Other,1,1,0,trademe,https://www.trademe.co.nz/a/property/residential/rent/canterbury/christchurch-city/city-centre/listing/5456963609,2025-08-05T17:28:25.395299+00:00,"To register your interest in this property please go to the listing https://renti.co/browse/irelands to “Book a Viewing”. Bookings are essential as viewings may be cancelled if you are not booked in.
Available 15th August 2025!
This one-bedroom semi furnished apartment is available now!  The apartment is in a highly sought after, safe and secure complex with covered parking and is located on the ground floor.  Offering modern features and open plan kitchen/living. Sliding doors open to small balcony to catch the afternoon sun and fresh air.  Fibre internet is available at this property.  
No smoking and sorry no pets. This would suit a professional individual or couple.   
Quiet city living in secure complex
Semi furnished 
Double glazing
Washing machine, fridge freezer, microwave
Great storage options
One single, secured and covered car parking space.
If after viewing this property, you would like to apply, please visit our website:
http://www.irelands.co.nz, click on the ‘Apply Now’ button and complete the online Irelands’ Tenancy Application.
Set up costs associated with this property (which are paid in advance) will be:
Bond $1,640.00 + Rent $410.00 = $2,050.00
http://www.irelands.co.nz
",232,410,weekly
5456982190,05/08/2025,active,"2/59 Seaview Road, Otumoetai, Tauranga, Bay Of Plenty",Otumoetai,Tauranga,Bay Of Plenty,"Advantage Realty Ltd Tauranga Central, (Licensed: REAA 2008)",Donna Aitchison,Home,2,2,1,trademe,https://www.trademe.co.nz/a/property/residential/rent/bay-of-plenty/tauranga/otumoetai/listing/5456982190,2025-08-05T17:28:30.128734+00:00,"Brand New Executive Townhouse – Be the First to Live Here!
This stylish, brand new two-bedroom townhouse offers modern living in a prime location. Thoughtfully designed and finished to a high standard, it’s perfect for those seeking low-maintenance comfort and quality.
We have Unit 2 and Unit 7 available: both units now have COC and are ready for their new occupants. 
Features include:
Two double bedrooms with built-in wardrobes (shelving and built in drawers included)
Master bedroom with beautifully tiled ensuite 
Second bathroom with tiled shower, vanity, and toilet
Open-plan kitchen, dining, and living area flowing to a sunny courtyard with decking area – perfect for entertaining
Sleek kitchen with brand new appliances: dishwasher, fridge/freezer, oven and hob
Laundry nook under the stairs, complete with brand new, plumbed-in LG washer/dryer 
Brand new Samsung heat pump for year-round comfort
Outdoor storage shed coming soon
Benefits of being brand new – property never lived in!
Additional Info:
12-month fixed-term tenancy
Sorry, no pets
Be the first to enjoy all the advantages of a brand new home. Get in touch today to arrange a viewing!
",81,650,weekly
