Address,Weekly Rent,Bedrooms,Bathrooms,Parking,Property Type,Listing Agent,Agency,URL,Scraped At
"38 Waite Street, Featherston, South Wairarapa, Wellington",565,3,1,0,Other,Lisa Geismar,Lifestyle Property Management Wairarapa Ltd,https://www.trademe.co.nz/a/property/residential/rent/wellington/south-wairarapa/featherston/listing/5446495258?rsqid=b780272893c14305811258275a7c6ef9-001,2025-07-29T22:37:59.094581
"4/107 Edgeware Road, St. Albans, Christchurch City, Canterbury",519,2,1,1,Townhouse,0508 RENTAL,A1 Property Managers Ltd,https://www.trademe.co.nz/a/property/residential/rent/canterbury/christchurch-city/st-albans/listing/5446473232?rsqid=b780272893c14305811258275a7c6ef9-001,2025-07-29T22:37:59.320643
"52 Atherton Terrace, Churton Park, Wellington, Wellington",1100,4,2,3,House,Nicholas White,"First National Collective, (Licensed: REAA 2008)",https://www.trademe.co.nz/a/property/residential/rent/wellington/wellington/churton-park/listing/5446426273?rsqid=e8d38e2b61a742b19f2b909c4223cf53-001,2025-07-29T22:37:59.536511
"4 Skysail Lane, Whitby, Porirua, Wellington",810,3,2,2,Other,Chiani Dunning,Nest Property Management Ltd,https://www.trademe.co.nz/a/property/residential/rent/wellington/porirua/whitby/listing/5446444490?rsqid=e8d38e2b61a742b19f2b909c4223cf53-001,2025-07-29T22:38:06.750183
"311(Unit) Great North Road, Henderson, Waitakere City, Auckland",590,1,1,0,Unit,Debbie Roberts,Ray White Austar Property Services,https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/henderson/listing/5446161929?rsqid=c1d79a28047845718e5c7a090f5ce07c-001,2025-07-29T22:38:07.896118
"8 Stirling Place, Tokoroa, South Waikato, Waikato",500,3,1,1,Other,Teressa Didovich,"Property Brokers, (Licensed: REAA 2008)",https://www.trademe.co.nz/a/property/residential/rent/waikato/south-waikato/tokoroa/listing/5446456571?rsqid=e8d38e2b61a742b19f2b909c4223cf53-001,2025-07-29T22:38:08.112033
"37 Lord Rutherford Road, Brightwater, Tasman, Nelson / Tasman",620,3,2,3,Flat,Ginnette Smythe,The Rent Shop Nelson,https://www.trademe.co.nz/a/property/residential/rent/nelson-tasman/tasman/brightwater/listing/5446368030?rsqid=feb3a9e86a0b430eb982084b1e32f212-001,2025-07-29T22:38:16.053882
"60 Shields Street, Clyde, Central Otago, Otago",580,3,1,2,Other,Martin Padgett,"Property Brokers, (Licensed: REAA 2008)",https://www.trademe.co.nz/a/property/residential/rent/otago/central-otago/clyde/listing/5446404012?rsqid=feb3a9e86a0b430eb982084b1e32f212-001,2025-07-29T22:38:17.983097
"1/7 Laburnum Road, New Windsor, Auckland City, Auckland",545,2,1,2,House,Denzel Lepua,"Barfoot & Thompson Mt Roskill Rentals, (Licensed: REAA 2008)",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/new-windsor/listing/5446439159?rsqid=e8d38e2b61a742b19f2b909c4223cf53-001,2025-07-29T22:38:18.376823
"26  Frances Street, Manurewa, Manukau City, Auckland",825,5,2,0,House,Emma Bryers,Charlton Property Management,https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/manurewa/listing/5445496358?rsqid=335b4f2b4dd54535b180f2299306b72c-001,2025-07-29T22:38:23.498253
"14 Karamu Street , Ngaio, Wellington, Wellington",700,4,3,3,House,Emma Fairmaid,Comprende Ltd,https://www.trademe.co.nz/a/property/residential/rent/wellington/wellington/ngaio/listing/5446444438?rsqid=e8d38e2b61a742b19f2b909c4223cf53-001,2025-07-29T22:38:25.791459
"9 Tuakana street, Point England, Auckland City, Auckland",780,4,2,1,Townhouse,Emman Rahimi,Olympia Property,https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/point-england/listing/5307537780?rsqid=b780272893c14305811258275a7c6ef9-001,2025-07-29T22:38:26.655031
"65A Hobart Crescent, Manurewa, Manukau City, Auckland",545,2,1,2,Other,Stephy Qi,apm (Auckland Property Management),https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/manurewa/listing/5445391589?rsqid=335b4f2b4dd54535b180f2299306b72c-001,2025-07-29T22:38:31.438513
"9A/30 Westward Ho, Glen Eden, Waitakere City, Auckland",620,1,1,6,Apartment,myRent.co.nz,myRent.co.nz Ltd,https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/glen-eden/listing/5445648759?rsqid=c1d79a28047845718e5c7a090f5ce07c-001,2025-07-29T22:38:34.875037
"71 Barraud Street , Dannevirke, Tararua, Manawatu / Whanganui",600,3,1,3,Other,Jennifer Hauraki,"Property Brokers, (Licensed: REAA 2008)",https://www.trademe.co.nz/a/property/residential/rent/manawatu-whanganui/tararua/dannevirke/listing/5446384144?rsqid=feb3a9e86a0b430eb982084b1e32f212-001,2025-07-29T22:38:35.066908
"1/691 Gloucester Street, Linwood, Christchurch City, Canterbury",525,3,1,3,Flat,Quinovic Riccarton,Quinovic Riccarton,https://www.trademe.co.nz/a/property/residential/rent/canterbury/christchurch-city/linwood/listing/5446434936?rsqid=e8d38e2b61a742b19f2b909c4223cf53-001,2025-07-29T22:38:38.090486
"422/430 Queen Street, City Centre, Auckland City, Auckland",510,2,1,0,Apartment,Jeff Reid,Goode Rentals,https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/city-centre/listing/5446446216?rsqid=e8d38e2b61a742b19f2b909c4223cf53-001,2025-07-29T22:38:43.202859
"1B Thomas Place, Leamington, Waipa, Waikato",550,2,1,1,Other,myRent.co.nz,myRent.co.nz Ltd,https://www.trademe.co.nz/a/property/residential/rent/waikato/waipa/leamington/listing/5446385340?rsqid=feb3a9e86a0b430eb982084b1e32f212-001,2025-07-29T22:38:43.728635
"40a Riro Street, Point Chevalier, Auckland City, Auckland",750,3,1,1,Other,Ben Boshier,"Ray White Taylor Property Services, (Licensed: REAA 2008)",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/point-chevalier/listing/5445539616?rsqid=335b4f2b4dd54535b180f2299306b72c-001,2025-07-29T22:38:49.522899
"8/6A Durie Street, Durie Hill, Whanganui, Manawatu / Whanganui",400,2,1,0,Unit,Rachael Cole,Inspire Property Management,https://www.trademe.co.nz/a/property/residential/rent/manawatu-whanganui/whanganui/durie-hill/listing/5446443236?rsqid=e8d38e2b61a742b19f2b909c4223cf53-001,2025-07-29T22:38:52.456539
"9B Pah Road, Papatoetoe, Manukau City, Auckland",790,4,2,2,Townhouse,Emman Rahimi,Olympia Property,https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/papatoetoe/listing/5365430318?rsqid=b780272893c14305811258275a7c6ef9-001,2025-07-29T22:38:53.865799
"502/135/145 Symonds Street, City Centre, Auckland City, Auckland",550,1,1,0,Apartment,Darnae Brown,"One Place Limited, (Licensed: REAA 2008)",https://www.trademe.co.nz/a/property/residential/rent/auckland/auckland-city/city-centre/listing/5446089172?rsqid=c1d79a28047845718e5c7a090f5ce07c-001,2025-07-29T22:38:57.892660
"8/146 Simeon Street, Spreydon, Christchurch City, Canterbury",500,2,1,0,Townhouse,Pieta Shaw,Grenadier Rent Shop Ltd,https://www.trademe.co.nz/a/property/residential/rent/canterbury/christchurch-city/spreydon/listing/5368044280?rsqid=e8d38e2b61a742b19f2b909c4223cf53-001,2025-07-29T22:38:58.891762
"161 Ilam Road, Ilam, Christchurch City, Canterbury",850,4,2,0,Other,Alex Neilson,Holmwood Property Management,https://www.trademe.co.nz/a/property/residential/rent/canterbury/christchurch-city/ilam/listing/5446418811?rsqid=feb3a9e86a0b430eb982084b1e32f212-001,2025-07-29T22:39:00.752515
"2/6B Durie Street, Durie Hill, Whanganui, Manawatu / Whanganui",440,2,1,0,Apartment,Rachael Cole,Inspire Property Management,https://www.trademe.co.nz/a/property/residential/rent/manawatu-whanganui/whanganui/durie-hill/listing/5446441671?rsqid=e8d38e2b61a742b19f2b909c4223cf53-001,2025-07-29T22:39:04.068430
"748 Redoubt Road, Flat Bush, Manukau City, Auckland",1200,5,3,2,Other,Gabriele Celetti,Climber Property Ltd,https://www.trademe.co.nz/a/property/residential/rent/auckland/manukau-city/flat-bush/listing/5445702207?rsqid=c1d79a28047845718e5c7a090f5ce07c-001,2025-07-29T22:39:06.405281
"46 Wilsher Crescent, Henderson, Waitakere City, Auckland",600,3,1,3,Other,Daniel,Ezystayz Limited,https://www.trademe.co.nz/a/property/residential/rent/auckland/waitakere-city/henderson/listing/5445593741?rsqid=335b4f2b4dd54535b180f2299306b72c-001,2025-07-29T22:39:07.958764
"2/9 Wilkinson St, Oriental Bay, Wellington, Wellington",900,2,1,1,Apartment,Naomi Lane,Pearse Knowles and Lane Ltd,https://www.trademe.co.nz/a/property/residential/rent/wellington/wellington/oriental-bay/listing/5292278286?rsqid=b780272893c14305811258275a7c6ef9-001,2025-07-29T22:39:12.034134
"24 Strathmore Drive, Tokoroa, South Waikato, Waikato",500,3,1,0,House,Shanlee Johnston,"Property Brokers, (Licensed: REAA 2008)",https://www.trademe.co.nz/a/property/residential/rent/waikato/south-waikato/tokoroa/listing/5446401125?rsqid=feb3a9e86a0b430eb982084b1e32f212-001,2025-07-29T22:39:14.647521
