listing_id,list_date,status,address,suburb,city,region,agency_name,agent_name,property_type,bedrooms,bathrooms,parking_spaces,source_site,URL,Scraped At,Full Description,Page Views,sale_type,ask_price_nzd,cv_nzd,estimate_low_nzd,estimate_high_nzd
5386895444,24/06/2025,active,"4 Lot 46 Taonga Lane, Temple View, Hamilton, Waikato",,,,Classic Builders NZ Limited - Waikato,['Emerson Irvine'],Home,2,1,2,trademe,https://www.trademe.co.nz/a/property/new-homes/new-house/waikato/hamilton/temple-view/listing/5386895444,2025-08-05T18:22:52.188153+00:00,"Down sizing or looking for a first home then this is an option worth looking at. 
A new home is warm, dry and low maintenance so if you are sick of looking at homes that need work then call us to view this home. 
The build size and land parcel are designed to ensure affordability so don't miss out on this opportunity.  
Features and benefits include:
5% deposit (Contingent on your Finance Approval) - Balance on completion
Open plan living, dining and kitchen
Choose from a selection of optional upgrades to add your touch to the internal finish of the home.
Plans are in council for building consent so purchase now and you could be moving in to this warm, dry & quiet before next winter!
Note: this home is available to owner occupiers only. We are aiming to create a community of owner occupier families, as such we are targeting those that will commit to living in their property themselves.
Hapori Park | Hamilton
Hapori Park is set to become one of Hamilton’s most desirable places to live, offering the best of Hamilton City right at your fingertips, balanced with a semi-rural outlook to escape to at the end of the day.
Built on a shared vision for a world-class, thriving and connected neighbourhood, Hapori Park has been designed with families in mind. The lake walkways and playground that form legacy park are locally renowned and will become your backyard in this master-planned community.
Classic Builders | Over 26 Years Experience
Purchase with confidence - built for you by Classic Builders, one of New Zealand's largest residential building companies.
This home is backed by a 10-year structural warranty, a one-year maintenance period, and two years defects cover.
",2431,Fixed Price,729000,,,
5375937778,18/06/2025,active,"8/12 Rautangi Road, Mount Eden, Auckland City, Auckland",Mount Eden,Auckland City,Auckland,"Barfoot & Thompson Mt Eden, (Licensed: REAA 2008)","['Cheryl Martin', 'Kelly Zhang']",Home,2,1,1,trademe,https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/mount-eden/listing/5375937778,2025-08-05T18:22:58.088601+00:00,"Tucked away in a peaceful cul-de-sac, this renovated 2-bedroom + study unit in the sought-after Double Grammar Zone (DGZ) offers the perfect blend of lifestyle, location, and low-maintenance living. Whether you're a first-home buyer, investor, downsizer or professional, this is a smart, stylish choice in one of Auckland's top suburbs.
The location is unbeatable. Maungawhau / Mt Eden is just at the end of the street, accessible via a charming hidden pathway. You're moments from the CBD, with Mt Eden Village nearby for brunches, boutique shopping, and leisurely walks up the iconic maunga.
What you'll love:
Renovated kitchen and bathroomTwo bedrooms + Office/studySolid brick constructionSingle-level, rear position in a tidy blockNo body corporate feesZoned for Auckland Grammar, Epsom Girls Grammar, Mt Albert Grammar, Auckland Normal Intermediate, and Mt Eden Normal Primary, this home is situated in one of the most desirable school zones in the country. You're also close to public transport, popular eateries, shops, and all essential amenities.
With immediate move-in or rental potential, and a motivated vendor keen to sell, this is a golden opportunity to secure your future in a premium location.
Don't miss out-contact us today to arrange your viewing. This property will be sold!
See interactive features for this property on barfoot.co.nz. Click the ""View their website"" link at the bottom of this page.
",7867,Fixed Price,748000,780000,675000,760000
5410612162,05/01/2025,active,"11B Warwick Road, Stratford, Taranaki",,,,Next Real Estate Taranaki,['Mathew Watt'],Other,0,0,0,trademe,https://www.trademe.co.nz/a/property/residential/sections-for-sale/taranaki/stratford/stratford/listing/5410612162,2025-08-05T18:22:58.935063+00:00,"Build your dream property with Lot 4 or 5 available for purchase in this new subdivision.
Features:
* Fully Serviced Lots: Town water, sewer, fibre internet, and power connections included.
* Good Ground: Good drainage and stable foundations – perfect for building.
* Access: Each lot comes with a completed vehicle crossing, and the subdivision features an asphalt right-of-way for easy access to all properties.
* Peace of Mind: A detailed geotechnical report is available upon request.Status Update:
Lot 1: SOLDLot 2: SOLDLot 3: SOLD
Lot 4: $190,000 (1000m2)
Lot 5: $299,000 (8534m2)Lot 7: SOLDDon’t miss this opportunity to own a prime piece of land in a premium location. Contact Mathew Watt at 027-263-1235 or mailto:mat@nextrealestate.co.nz for more information.
Start your future here – enquire today!
",795,Fixed Price,190000,,,
5293319086,30/04/2025,active,"44 Liberty Crescent, Beachlands, Manukau City, Auckland",Beachlands,Manukau City,Auckland,"Barfoot & Thompson Beachlands, (Licensed: REAA 2008)","['Ian Boswell', 'Nicolette Hale']",Home,4,3,2,trademe,https://www.trademe.co.nz/a/property/residential/sale/auckland/manukau-city/beachlands/listing/5293319086,2025-08-05T18:23:00.607634+00:00,"As impressive from the road as it is inside, this 'one owner' Cape Cod inspired property makes an unforgettable first impression, matched only by its stunning interior and equally desirable location. Elegantly positioned on the northern slopes of Spinnaker Bay, this approximately 284m2 home is set on a landscaped 888m2 freehold section, creating an ideal environment for families of all ages. 
The 4 generous double bedrooms, 3 bathrooms, 2 separate lounges, home office, separate laundry room and double internal garaging makes easy work of giving everyone their own space to unwind and relax. The heated swimming pool area is secluded yet integrates seamlessly with the home’s surroundings, perfect for entertaining. Lovely elevated wide sea views remind you of the proximity to the water from this coveted address. There's ample space for a boat, perfect for exploring the beautiful Pohutukawa coastline and taking advantage of the excellent fishing opportunities. 
Conveniently located near the Beachlands shopping complex and a short distance from local parks and walkways, this home is ideal for those seeking both tranquility and accessibility. For city commutes or retail excursions, Pine Harbour Marina is just a short drive away, offering a local ferry service to the CBD.
If you're looking for quality, style and a splash of elegance, you can't afford to miss out on this opportunity to own this beautiful home. Watch our Special Agents 003 video tour.
",3643,Fixed Price,2159000,1900000,1750000,1980000
5410521562,08/07/2025,active,"3 Aylmer Court, Eastern Beach, Manukau City, Auckland",Eastern Beach,Manukau City,Auckland,"Ray White Howick (Five AM Realty Ltd), (Licensed: REAA 2008)",['Clare Nicholson'],Other,5,4,9,trademe,https://www.trademe.co.nz/a/property/residential/sale/auckland/manukau-city/eastern-beach/listing/5410521562,2025-08-05T18:23:00.742362+00:00,"Irreplaceable value - Don't miss the opportunity to make this gem your own!
Set on 670m2 in a quiet cul-de-sac, the five-bedroom layout is far from conventional, with a separate, one-bedroom self-contained wing under the same roof, making it an ideal fit for extended family or guests.
Bold and bespoke, this extraordinary residence was crafted by a builder for his own family, leaving a legacy of space, substance, and scope just moments from Eastern and Bucklands Beaches.
Upstairs, two spacious bedrooms claim private bathrooms and balconies, one with a spa bath, the other with a tea making area, while the main kitchen connects to an open-plan lounge and dining area that flows to yet another terrace, all enhanced by a glimpse of the water.
A laundry and separate WC complete the top floor, while downstairs, another two double bedrooms are joined by the self-contained wing, featuring its own bedroom, bathroom and laundry, and a well-appointed wet-bar that lays the groundwork for a full kitchen. The living and dining space flows directly to the centre-piece swimming pool and surrounding tiled patio, putting daily life or guest stays at the doorstep of resort-style relaxation.
The decor throughout is pure time capsule, showcasing timber joinery, vintage carpet and authentic 80s style that's immediately liveable and undeniably lovable, yet ripe for revival.
Triple-car internal-access garaging, off-street space for a boat or campervan, and low-maintenance brick construction tick the practical boxes, while the location seals the deal, being within walking distance of beaches and cafes, with top schooling including Bucklands Beach Primary, Bucklands Beach Intermediate and the highly sought after Macleans College plus transport links all close at hand.
Offered for the first time after 40 years in the same hands, this property invites upsizers, renovators, and developers with the vision to elevate or evolve this extraordinary coastal classic.
Conjunctions Welcome
",3394,Price by Negotiation,,2480000,2320000,2620000
5422446652,16/07/2025,active,"25A Fir Street, Waterview, Auckland City, Auckland",Waterview,Auckland City,Auckland,"Barfoot & Thompson New Lynn, (Licensed: REAA 2008)",['Anna Lechtchinski'],Home,3,1,5,trademe,https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/waterview/listing/5422446652,2025-08-05T18:23:00.779102+00:00,"Auction: 34 Shortland Street, City on Friday 8 August 2025 at 10:00AM  (unless sold prior)
This fabulous 1950's bungalow welcomes you with effortless style and an abundance of natural light. Nestled up a private right-of-way , the home enjoys peace and seclusion while placing you minutes from main transport links, cafés, restaurants, and Pt Chevalier’s vibrant beach scene. Schools, kindergarten, Heron Park, and leafy reserves are all an easy stroll away, making daily life wonderfully convenient.
Step inside to discover a beautifully renovated mid-century home where every detail has been thoughtfully upgraded. From top to bottom - roof, insulation, interiors, and beyond - this home has been transformed with modern living in mind. The single level floor plan is effortlessly functional, opening into a light filled lounge that flows into a spacious open plan kitchen, dining, and family area. Large sliding doors connect the indoors to a generous deck and flat, sun-drenched lawn - perfect for al fresco dining, relaxed entertaining, and endless family fun!
Home chefs will adore the showpiece kitchen, where sleek cabinetry meets a generous butler’s pantry to keep prep and cleanup neatly out of sight when entertaining. Three spacious bedrooms offer restful retreats, with a well apportioned bathroom offering the space and amenities for everyday routines.
Off street parking is plentiful, and the large external garage is fully ply-lined with rubber gym flooring and electrics. Use it as a home gym, extra storage, or a creative studio - the choice is yours.
Move in, stretch out, and start living the lifestyle you’ve been dreaming of.
",3627,Auction,,1230000,1270000,1430000
5422448172,16/07/2025,active,"44 Tawa Street, Te Kuiti, Waitomo, Waikato",Te Kuiti,Waitomo,Waikato,"Barfoot & Thompson City, (Licensed: REAA 2008)",['Philip Davis'],Home,3,1,0,trademe,https://www.trademe.co.nz/a/property/residential/sale/waikato/waitomo/te-kuiti/listing/5422448172,2025-08-05T18:23:01.029101+00:00,"MORTGAGEE AUCTION – 44 Tawa Street, Te Kuiti
1609m² Section, Attractive Rural Setting!
A unique opportunity on the northern outskirts of Te Kuiti! This 150m², three-bedroom house (according to Property Guru), offers a great entry point into the market. 
Situated on a generous 1609m² road-frontage, freehold section overlooking Te Kuiti, only minutes away from the local New World and The Warehouse. An ideal family home that features three bedrooms, a bathroom and undercover parking for several cars. 
Look forward to the annual “running of the sheep” and make the home of Pine Trees Meads and John Fagan your own. Call now! CT 127289
Agent on Site
Sun 3rd of August 12:00-12:30pm
",2571,Auction,,390000,375000,455000
5457801316,05/08/2025,active,"18 Limerick Place, Dannemora, Manukau City, Auckland",Dannemora,Manukau City,Auckland,"Barfoot & Thompson Howick, (Licensed: REAA 2008)","['Steve Weng', 'Helen Yi']",Home,4,2,2,trademe,https://www.trademe.co.nz/a/property/residential/sale/auckland/manukau-city/dannemora/listing/5457801316,2025-08-05T18:23:05.274704+00:00,"Auction: 62 Highbrook Drive, East Tamaki on Tuesday 26 August 2025 at 1:00PM  (unless sold prior)
Set in one of Dannemora’s most desirable cul-de-sacs, this beautifully maintained brick and tile residence is being offered for sale for the first time in 26 years. Meticulously cared for by its current owners, this single-level home sits proudly on a freehold 688sqm (more or less) section and boasts a generous 233sqm (more or less) floor area.
Positioned within the highly sought-after Botany College zone, this home offers both quality and location—making it a must-see for families.
The well-thought-out layout provides functional spaces for daily living. A wide and welcoming entrance opens into both the formal lounge and the open-plan family and dining areas. The heart of the home is a spacious, well-appointed kitchen featuring sleek cabinetry, thick granite benchtops, and premium appliances—ideal for those who love to cook and entertain.
All three main bedrooms are positioned away from the living spaces, offering peace and privacy. The fourth bedroom is versatile and can be used as a guest room, study, or home office. The master suite includes a walk-in wardrobe, private ensuite, and sliding door access to the garden. A separate toilet and family bathroom service the rest of the household, and a dedicated laundry room adds convenience.
Comfort is guaranteed year-round with two heat pumps and underfloor heating in both bathrooms and the kitchen. The sun-drenched, north-facing patio flows seamlessly from the living and kitchen area—perfect for outdoor entertaining or relaxed family time. The low-maintenance garden allows you to enjoy your home without the extra work.
A large driveway leads to an internal-access double garage and provides ample off-street parking for extra vehicles, boats, or trailers—making this home practical as well as charming.
Zoned for excellent schools including Point View School, Somerville Intermediate, and Botany Downs Secondary College, and just minutes to Botany Town Centre, parks, and motorway access—this location ticks every box.
Homes of this calibre rarely become available. Call us today to arrange a private viewing or join us at the open home—you won’t want to miss this one.
",201,Auction,,1725000,1630000,1840000
5352341722,04/06/2025,active,"23C Hillsborough Road, Hillsborough, Auckland City, Auckland",Hillsborough,Auckland City,Auckland,"Barfoot & Thompson Mt Eden, (Licensed: REAA 2008)",['Jacqui Ding'],Home,3,3,6,trademe,https://www.trademe.co.nz/a/property/residential/sale/auckland/auckland-city/hillsborough/listing/5352341722,2025-08-05T18:23:05.593043+00:00,"Space, Views & Motivation
Our vendors have owned this property for over 18 years. We have been given clear instructions to Sell It! 
Set on an expansive 1083sqm parcel of prime elevated land, this beautifully crafted home offers the perfect blend of refined living and family-friendly function. Quietly tucked away in sought-after Hillsborough, this residence is designed to grow with your modern lifestyle.
Quietly perched, this abode delights the senses with spectacular views and a palatable neutral styling. The king-sized floorplan places equal importance on the social and quiet aspects of family life, while taking indoor/outdoor flow a little more seriously.
Focusing on the social aspect, the connective layout of the beautifully designed kitchen, main lounge, dining and family room enables everyone to relax and gather alongside the flowing alfresco connections. With the elevated balcony looking to the historic landmark of One Tree Hill and the privately set rear deck and garden -  perfect for summer barbecues, family brunches, or sunset wine with friends.
With three bedrooms, there are two masters with ensuites and impressive wardrobes; one upstairs and one down. The second master could offer accommodation for guests or become a dedicated room for the young at heart in the family. An internal entry double garage with a spacious workshop area serves well, and a laundry/utility room functions excellently.
It's a short walk to Monte Cecelia Park; One Tree Hill is close by, Greenwoods Corner offers up an eclectic hub of cafes and stores, and it's plain-sailing to the CBD via the Southwestern Motorway located moments away. Education is covered by Three Kings School, Mt Roskill Grammar Intermediate, and Baradene College.
A home of enduring quality and lifestyle appeal - this is your opportunity to secure something truly special for your family.
",3927,Fixed Price,1649000,1800000,1650000,1860000
5212620420,12/03/2025,active,"3 New Dawn Lane, Albany, North Shore City, Auckland",Albany,North Shore City,Auckland,"Barfoot & Thompson Albany, (Licensed: REAA 2008)","['Elsa Wen', 'Raymond Li']",Home,6,4,2,trademe,https://www.trademe.co.nz/a/property/residential/sale/auckland/north-shore-city/albany/listing/5212620420,2025-08-05T18:23:06.138389+00:00,"Nestled in the quiet Albany Rose Park subdivision with green vistas, this Brick and Weatherboard beauty provides full functionality for an extended family through its multi-level architectural design.
It is only a few minutes' drive to Albany Centre, a fast-growing hub on the North Shore, which provides a wide range of amenities, including the Westfield Shopping Mall.
Zoned for Albany Junior High School and Albany Senior High School, Kristin and Pinehurst Schools, as well as the Albany Campus of Massey University, are also within a comfortable short drive.
Key features:
602 m² (more or less) of freehold land and 331 m² (more or less) of house area.6 bedrooms, 2 living rooms, 4 bathrooms, and a double garage.Modern open-plan kitchen with high-quality Bosch appliances, plus a functional butler's kitchen.Includes flatmate area with their own lounge, separate entrance, and bathroom, easily accommodating grandparents, teenagers, or home-stays!Seamless indoor-outdoor flow to well-cared gardens and entertainment area, designed for low-maintenance, easy living, and creating a peaceful and private ambience.Large balcony with a UV-resistant sunshade extending from the kitchen offers not only beautiful views but also protection from the sun.If you are searching for a special home with tranquility, convenience, and prime education, this is the answer to all your dreams. If this fabulous property ticks your boxes, why not call us for more information today!
See interactive features for this property on barfoot.co.nz. Click the ""View their website"" link at the bottom of this page.
",5787,Price by Negotiation,,2025000,1780000,2009999
