Address,Weekly Rent,Bedrooms,Bathrooms,Parking,Property Type,Listing Agent,Agency,URL,Scraped At
"30 Kauri Heart Avenue, Takanini, Papakura, Auckland",700,3,2,2,House,Prince Negi,Realzea Property Management,https://www.trademe.co.nz/a/property/residential/rent/auckland/papakura/takanini/listing/5434865734?rsqid=03e2ff16a4354b6eaf8900ac6a380a31-001,2025-07-24T07:58:07.481415
"12A Walpole Street, Waltham, Christchurch City, Canterbury",529,2,1,1,Townhouse,0508 RENTAL,A1 Property Managers Ltd,https://www.trademe.co.nz/a/property/residential/rent/canterbury/christchurch-city/waltham/listing/5434648459?rsqid=2ae3bdf9d0154711b8d8c5f38e71f790-001,2025-07-24T07:58:08.862970
"9 Wainhouse Street, Stokes Valley, Lower Hutt, Wellington",750,4,1,2,House,Amber R,RentCare Property Management,https://www.trademe.co.nz/a/property/residential/rent/wellington/lower-hutt/stokes-valley/listing/5431408433?rsqid=df7d9ec9cdfa4186977373c07c60070e-001,2025-07-24T07:58:08.966240
"9E Horne Street, Hamilton City Central, Hamilton, Waikato",470,1,1,1,Apartment,John Schwikkard,Waikato Real Estate,https://www.trademe.co.nz/a/property/residential/rent/waikato/hamilton/hamilton-city-central/listing/5436501673?rsqid=e7ac43403bf64d77b82f4fdff86a392b-001,2025-07-24T07:58:12.349647
"85B Clevedon Road, Papakura, Auckland",570,3,1,2,Other,The Rent Shop Auckland,The Rent Shop Ltd,https://www.trademe.co.nz/a/property/residential/rent/auckland/papakura/papakura/listing/5434723595?rsqid=8e9ed7fe0ded4b189a8a1b2bf25cd3cb-001,2025-07-24T07:58:14.245203
"22a Ayton Street, Mangapapa, Gisborne, Gisborne",650,3,1,2,Other,Tobias Girod,"Property Brokers, (Licensed: REAA 2008)",https://www.trademe.co.nz/a/property/residential/rent/gisborne/gisborne/mangapapa/listing/5431861721?rsqid=f70e8c6da2644fd1bf5d45799beb766c-001,2025-07-24T07:58:14.291717
"1 Homestead Lane, Cambridge, Waipa, Waikato",900,4,3,2,House,Cambridge Viewings,Glasshouse Property Management,https://www.trademe.co.nz/a/property/residential/rent/waikato/waipa/cambridge/listing/5431937789?rsqid=3c9790b4b5e4456b9fbe7043d939520a-001,2025-07-24T07:58:15.514221
"640 Springston Rolleston Road, Rolleston, Selwyn, Canterbury",700,4,2,0,Other,Wendi Parsons,Grenadier Rent Shop Ltd,https://www.trademe.co.nz/a/property/residential/rent/canterbury/selwyn/rolleston/listing/5433011592?rsqid=d268551d47194a24a6e0579b80406c4a-001,2025-07-24T07:58:18.136795
"605/15 Holland Street, Wellington Central, Wellington, Wellington",400,1,1,0,Apartment,Rebekah Joyce,Comprende Ltd,https://www.trademe.co.nz/a/property/residential/rent/wellington/wellington/wellington-central/listing/5434899306?rsqid=03e2ff16a4354b6eaf8900ac6a380a31-001,2025-07-24T07:58:18.262129
"44B Picton Ave, Riccarton, Christchurch City, Canterbury",639,3,2,2,Townhouse,0508 RENTAL,A1 Property Managers Ltd,https://www.trademe.co.nz/a/property/residential/rent/canterbury/christchurch-city/riccarton/listing/5434782623?rsqid=53b5e719186f4dd38280853283c61117-001,2025-07-24T07:58:20.003504
